,"M DE FOSILES, ROCAS Y MINERALES ",,,,,,,,,,,,,,,,,,,,,
,INVENTARIO DEL PATRIMONIO MINERALOGICO PT. 2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CLAVE,NOMBRE,PROCEDENCIA,DESCRIPCION,UBICACIÓN,,IMAGEN,FECHA,OBSERVACION ,LUMINISCENCIA ,Tamaño,,,,,,,,,,,
,,,,,No. De caja ,No. De caja mediana ,,,,,Talla ,Medidas (cm),tipo,estatus,,,,,,,,
,89,Malaquita,,"Cristales fibrosos color verde, translucidos y brillo vitreo.  ",1/106,7,,29/01/2025,Tienda ,,,,12,,,,,,,,,
,90,Malaquita ,,"Cristal botroidal reniforme, color verde, translucido y brillo sedoso. ",1/106,7,,29/01/2025,Tienda ,,,,13,,,,,,,,,
,91,Adamita y Kottigita ,"Mina La Ojuela, Mapimi, Durango, México","Cristales radiales de color amarillo, transparente y brillo vitreo. Sobre cristales radiados de Kottigita color gris verdoso, translucido y brillo resinosos. En una matriz de limonitas. ",1/106,7,,29/01/2025,M ,Verde,,,14,,,,,,,,,
,92,Adamita y Kottigita ,"Mina La Ojuela, Mapimi, Durango, México","Cristales radiales de color amarillo, transparente y brillo vitreo. Sobre cristales radiados de Kottigita color gris verdoso, translucido y brillo resinosos. En una matriz de limonitas.",1/106,7,,29/01/2025,G ,Verde,,,15,,,,,,,,,
,93,Malaquita psedu azurita,,"Cristales prismáticos de azurita reemplazados por malaquita color verde, translucido y brillo sedoso. Con partes de fibrosa y mate. Además presenta parches de azurita masiva color azul, opaco y mate. ",1/106,7,,29/01/2025,Tienda ,,,,16,,,,,,,,,
,94,Adamita ,,"Cristales radiados color amarillo, transparente y brillo vitreo. Sobre una matriz de limonitas. ",1/106,7,,29/01/2025,Tienda ,Verde,,,17,,,,,,,,,
,95,Adamita y Kottigita ,,"Cristales radiales de color amarillo, transparente y brillo vitreo. Sobre cristales radiados de Kottigita color gris verdoso, translucido y brillo resinosos. En una matriz de limonitas.",1/106,7,,29/01/2025,T,Verde,,,18,,,,,,,,,
,96,Calcita,,"Cristales columnares color blanco, translucido y brillo vitreo. Con agregado de cristales de cuarzo color blanco, transparente  brillo vitreo. ",1/106,7,,29/01/2025,Tienda ,Blanca ,,,19,,,,,,,,,
,97,Adamita y Kottigita ,,"Cristales radiales de color amarillo, transparente y brillo vitreo. Sobre cristales radiados de Kottigita color gris verdoso, translucido y brillo resinosos. En una matriz de limonitas.",1/106,7,,29/01/2025,Tienda ,,,,20,,,,,,,,,
,98,Adamita y Kottigita ,,"Cristales radiales de color amarillo, transparente y brillo vitreo. Sobre cristales radiados de Kottigita color gris verdoso, translucido y brillo resinosos. En una matriz de limonitas.",1/106,7,,29/01/2025,H,Verde,,,21,,,,,,,,,
,99,Adamita y Kottigita ,,"Cristales radiales de color amarillo, transparente y brillo vitreo. Sobre cristales radiados de Kottigita color gris verdoso, translucido y brillo resinosos. En una matriz de limonitas.",1/106,7,,29/01/2025,Tienda ,Verde,,,22,,,,,,,,,
,100,Goethita ,,"Costra de psedumorfo  formado por goethita color amarillo pardo, opaco y brillo mate. ",1/106,7,,29/01/2025,Tienda ,,,,23,,,,,,,,,
,101,Goethita psedu selenita,,"Costra de psedumorfo de selenita cubierto por goethita de color amarillo pardo, opaco y brillo mate.",1/106,7,,29/01/2025,Tienda ,,,,24,,,,,,,,,
,102,Cuarzo y ortoclasa ,,"Cristales prismáticos de cuarzo gris, transparente y brillo vitreo. Con agregado de cristales de ortoclasa color blanco, translucido y brillo nacarado. Presentan alteración por cloritización. ",1/106,8,,29/01/2025,Tienda ,,,,1,,,,,,,,,
,103,Cuarzo y ortoclasa ,,"Cristales prismáticos de cuarzo amarillento, translucido y brillo vitreo, con recubrimiento de microcristales color amarillo pardo. Estos están con una epitaxis de cristales de ortoclasa color crema, translucida y brillo nacarado. ",1/106,8,,29/01/2025,Tienda ,,,,2,,,,,,,,,
,104,Adularia ,,"Cristales prismáticos maclados incoloros, transparentes y brillo vitreo con reflejos, sobre una matriz altamente alterada por propilitizacion. ",1/106,8,,29/01/2025,Tienda ,,,,3,,,,,,,,,
,105,Ortoclasa ,,"Cristales tabulares  color blanco amarillento, translucido y brillo nacarado. Que son recubiertos por microcristales de cuarzo amarillento ",1/106,8,,29/01/2025,Tienda ,,,,4,,,,,,,,,
,106,Calcita y cuarzo ,,"Cristales tabulares de calcita blanca, translucida y brillo vitreo que es recubierta por óxidos de hierro y arcillas grises. Están sobre microcristales de cuarzo blanco",1/106,8,,29/01/2025,Tienda ,Naranja,,,5,,,,,,,,,
,107,Cuarzo ,,"Drusa de cristales prismáticos color amarillento, transparente y brillo vitreo. Con recubrimiento de microcristales. ",1/106,8,,29/01/2025,Tienda ,,,,6,,,,,,,,,
,108,Ortoclasa y cuarzo ,,"Cristales de cuarzo incoloros a amarillento, transparente y brillo vitreo. Con agregado de ortoclasa en forma de tablillas color crema, translucida y brillo nacarado. ",1/106,8,,29/01/2025,Tienda ,,,,7,,,,,,,,,
,109,Cuarzo y ortoclasa ,,"Cristales prismáticos de cuarzo incoloro, transparente y brillo vitreo. Con agregado de tablillas de ortosa color blanco, translucida y brillo nacarado. ",1/106,8,,29/01/2025,Tienda ,,,,8,,,,,,,,,
,110,Fluorita y galena ,,"Cristal prismático de forma octaedral incoloro, transparente y brillo vitreo. Con incrustaciones de granos de galena. ",1/106,9,,29/01/2025,Tienda ,Morado,,,1,,,,,,,,,
,111,Apatito ,,"Cristales prismáticos de color verde, transparente y brillo vitreo. Sobre una matriz de hematitas y cuarzo incoloro. ",1/106,9,,29/01/2025,Tienda ,Rosa ,,,2,,,,,,,,,
,112,Calcita y rosasita ,,"Cristales prismáticos de forma romboedral color blanco, transparente y brillo vitreo. Sobre cristales botroidales reniformes de rosasita color verde azulado, translucido y brillo sedoso. En una matriz de limonitas. ",1/106,9,,29/01/2025,Tienda ,,,,3,,,,,,,,,
,113,Calcopirita,,"Cristales prismáticos de calcopirita amarilla con iridiscencia, opaca y brillo metálico. Con incrustaciones de pequeños cristales de calcita prismática de color blanco, translucido y brillo vitreo. ",1/106,9,,29/01/2025,Tienda ,,,,4,,,,,,,,,
